cellid_source,cellid_sink,moistureflow_volume
12116,10428,75290.82627532499
12116,10429,68091.65121944786
12116,10430,101785.67369018779
12116,10431,112547.24093011927
12116,10432,112547.24093011927
12116,10433,83251.1536980045
12116,10434,124446.60414133909
12116,10435,152152.62345710752
12116,10436,205695.14306667345
12116,10437,186026.9388997338
12116,10438,205695.14306667345
12116,10439,227442.82162286228
12116,10440,251489.83265492786
12116,10441,186026.9388997338
12116,10442,186026.9388997338
12116,10443,205695.14306667345
12116,10444,168239.37347508586
12116,10445,186026.9388997338
12116,10446,137604.05989807454
12116,10447,152152.62345710752
12116,10448,152152.62345710752
12116,10449,137604.05989807454
12116,10450,186026.9388997338
12116,10451,124446.60414133909
12116,10452,92053.10839204068
12116,10454,124446.60414133909
12116,10455,137604.05989807454
12116,10456,112547.24093011927
12116,10457,101785.67369018779
12116,10458,101785.67369018779
12116,10459,92053.10839204068
12116,10462,75290.82627532499
12116,10463,75290.82627532499
12116,10495,55692.597157390126
12116,10496,37256.725466973134
12116,10497,45551.33151550691
12116,10498,45551.33151550691
12116,10597,0.0023401953583880104
12116,10598,0.002587618878720772
12116,10599,0.002587618878720772
12116,10600,0.0019140607553231614
12116,10601,0.0019140607553231614
12116,10602,0.002587618878720772
12116,10603,0.0038680590954565616
12116,10604,0.0034982021562746392
12116,10605,0.007816826672995617
12116,10606,0.017466909145332613
12116,10607,0.017466909145332613
12116,10608,0.0031637102805742176
12116,10609,0.002587618878720772
12116,10610,0.002587618878720772
12116,10611,0.0028612019238104885
12116,10612,0.002587618878720772
12116,10613,0.0028612019238104885
12116,10614,904.1102199971875
12116,10615,0.0028612019238104885
12116,10616,447.38765563739247
12116,10617,244.79064268358397
12116,10618,32.7967541949467
12116,10619,1.4545771001595544
12116,10620,21.94007336012321
12116,10621,2.939504488907959
12116,10622,14.67727007942014
12116,10623,109.54920582157399
12116,10624,1105.3957061835058
12116,10625,1827.0850337584552
12116,10626,1652.3824086086086
12116,10627,8250.527589648684
12116,10628,8250.527589648684
12116,10629,37256.725466973134
12116,10630,16673.205485615705
12116,10631,15078.943196680024
12116,10632,20385.224438865658
12116,10633,33694.30356361041
12116,10634,27558.7864482718
12116,10635,45551.33151550691
12116,10636,50367.369953928064
12116,10637,75290.82627532499
12116,10638,112547.24093011927
12116,10639,137604.05989807454
12116,10640,112547.24093011927
12116,10641,124446.60414133909
12116,10642,137604.05989807454
12116,10643,152152.62345710752
12116,10644,168239.37347508586
12116,10645,186026.9388997338
12116,10646,186026.9388997338
12116,10647,168239.37347508586
12116,10648,205695.14306667345
12116,10649,205695.14306667345
12116,10650,186026.9388997338
12116,10651,186026.9388997338
12116,10652,168239.37347508586
12116,10653,205695.14306667345
12116,10654,186026.9388997338
12116,10655,152152.62345710752
12116,10656,168239.37347508586
12116,10657,186026.9388997338
12116,10658,124446.60414133909
12116,10659,137604.05989807454
12116,10660,137604.05989807454
12116,10661,152152.62345710752
12116,10662,137604.05989807454
12116,10663,137604.05989807454
12116,10664,124446.60414133909
12116,10665,152152.62345710752
12116,10666,101785.67369018779
12116,10667,83251.1536980045
12116,10668,92053.10839204068
12116,10669,75290.82627532499
12116,10670,101785.67369018779
12116,10671,92053.10839204068
12116,10704,41195.79411697658
12116,10705,45551.33151550691
12116,10706,27558.7864482718
12116,10707,30472.51411407964
12116,10708,24923.66424569258
12116,10807,0.0023401953583880104
12116,10808,0.0028612019238104885
12116,10809,0.002587618878720772
12116,10810,0.002587618878720772
12116,10811,0.0028612019238104885
12116,10812,0.0031637102805742176
12116,10813,0.0034982021562746392
12116,10814,0.0034982021562746392
12116,10815,0.0034982021562746392
12116,10816,0.008643281937224438
12116,10817,0.021355633353650334
12116,10818,0.002587618878720772
12116,10819,0.0031637102805742176
